idx,title,text,url
0,Григориански календар,"'Григорианският календар (понякога наричан и Грегориански календар или „нов стил“) е съвременният международно признат светски календар,  на който се основава и международният стандарт ISO 8601",https://bg.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B0%D0%BD%D1%81%D0%BA%D0%B8_%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80
1,GNU General Public License,"GNU General Public License (на български превеждан като „Общ публичен лиценз на GNU“, е лиценз, издаден от Фондацията за свободен софтуер, с цел той да бъде използван за лицензирането на софтуер като „свободен“",https://bg.wikipedia.org/wiki/GNU_General_Public_License
2,Лиценз за свободна документация на ГНУ,"мини|Лого на GFDL

Лицензът за свободна документация на ГНУ () е лиценз за отворено съдържание, създаден от Фондацията за свободен софтуер за проекта ГНУ и първоначално замислен за програмната документация на продуктите, създавани от обществото ГНУ",https://bg.wikipedia.org/wiki/%D0%9B%D0%B8%D1%86%D0%B5%D0%BD%D0%B7_%D0%B7%D0%B0_%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%B0_%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%93%D0%9D%D0%A3
3,GNU FDL,виж Лиценз за свобод,https://bg.wikipedia.org/wiki/GNU_FDL
4,GNU Free Documentation License,виж Лиценз_за_свобод,https://bg.wikipedia.org/wiki/GNU_Free_Documentation_License
5,България,Република България е държава в Югоизточна Европа,https://bg.wikipedia.org/wiki/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F
6,История на България,"Историята на българските земи може да бъде условно разделена на 5 основни периода: Праистория, Античност, Средновековие, Османско владичество и Съвременна история",https://bg.wikipedia.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F
7,Септември,Септември е името на деветия месец от годината според григорианския календар и има 30 дни,https://bg.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BF%D1%82%D0%B5%D0%BC%D0%B2%D1%80%D0%B8
8,18 септември,18 септември е 261-вият ден в годината според григорианския календар (262-ри през високосна),https://bg.wikipedia.org/wiki/18_%D1%81%D0%B5%D0%BF%D1%82%D0%B5%D0%BC%D0%B2%D1%80%D0%B8
9,Страни по население,"Източници

Вижте същ",https://bg.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B0%D0%BD%D0%B8_%D0%BF%D0%BE_%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5
10,Списък на страните,"Този списък съдържа имената на всички международно признати суверенни държави, на де факто държавите без международно признание, и на зависимите територии",https://bg.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D1%8A%D0%BA_%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5
11,Лиценз за свободна документация,виж Лиценз_за_свобод,https://bg.wikipedia.org/wiki/%D0%9B%D0%B8%D1%86%D0%B5%D0%BD%D0%B7_%D0%B7%D0%B0_%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%B0_%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F
