idx,left_context,link_title,link_text,right_context,url,mention_in_page
0,стил е съвременният международно признат,светски,,календар на който се основава,,Григориански календар
1,е съвременният международно признат светски,календар,,на който се основава и,,Григориански календар
2,се основава и международният стандарт,ISO 8601,,мини Папа Григорий XIII мини,,Григориански календар
3,и международният стандарт ISO 8601,Файл:Gregory XIII.jpg,мини|[[Папа]] [[Григорий XIII]],мини Целогодишни календари Вечният григориански,,Григориански календар
4,8601 мини Папа Григорий XIII,Файл:Ewiger Kalender gregorianisch.png,мини|[[Целогодишни календари|Вечният]] григориански календар от 15 октомври 1582,мини Йезуитът Христофор Клавий е,,Григориански календар
5,календар от 15 октомври 1582,Файл:Christopher Clavius.jpg,мини|Йезуитът [[Христофор Клавий]] е важен член от реформната комисия,Григорианският календар е въведен в,,Григориански календар
6,е въведен в употреба на,4 октомври,,1582 г в съответствие с,,Григориански календар
7,1582 г в съответствие с,була,,от 24 февруари 1582 г,,Григориански календар
8,в съответствие с була от,24 февруари,,1582 г на папа Григорий,,Григориански календар
9,с була от 24 февруари,1582,,г на папа Григорий XIII,,Григориански календар
10,24 февруари 1582 г на,папа,,Григорий XIII чието име носи,,Григориански календар
11,февруари 1582 г на папа,Григорий XIII,,чието име носи и днес,,Григориански календар
12,и днес Той поправя древноримския,Юлиански календар,,като в него са нанесени,,Григориански календар
13,отчете по точно дължината на,тропическа година,тропическата година,В Юлианския календар се приема,,Григориански календар
14,времето между две последователни пролетни,Равноденствие,равноденствия,е 365 25 дни и,,Григориански календар
15,има с един ден повече,високосна година,,При Григорианския календар годините кратни,,Григориански календар
16,242374 дни Григорианският календар е,Приемане на григорианския календар,възприет,в различните страни по различно,,Григориански календар
17,календар Описание Григорианският календар е,слънчев календар,,зависим от периода на завъртането,,Григориански календар
18,от периода на завъртането на,Земя,,а около Слънцето който е,,Григориански календар
19,на завъртането на Земята около,Слънце,,о който е 365 2422,,Григориански календар
20,публичен лиценз на GNU е,лиценз,,издаден от Фондацията за свободен,,GNU General Public License
21,GNU е лиценз издаден от,Фондация за свободен софтуер,Фондацията за свободен софтуер,с цел той да бъде,,GNU General Public License
22,за лицензирането на софтуер като,свободно съдържание,„свободен“,Свободи GPL гарантира на потребителите,,GNU General Public License
23,GPL от лицензните договори на,собственически софтуер,собственическия софтуер,които рядко гарантират на крайните,,GNU General Public License
24,позволени от закона като например,обратно инженерство,обратното инженерство,От друга страна GPL се,,GNU General Public License
25,още по необвързващи договори като,Лицензи на BSD,лиценза на BSD,Главната разлика между тях се,,GNU General Public License
26,свободи и в копията и,производна работа,"продуктите, производни на оригиналния",Това се постига чрез механизма,,GNU General Public License
27,Това се постига чрез механизма,copyleft,,измислен от Ричард Столман който,,GNU General Public License
28,чрез механизма copyleft измислен от,Ричард Столман,,който изисква програмите произтичащи от,,GNU General Public License
29,е най популярният договор за,свободен софтуер,,и за софтуер с отворен,,GNU General Public License
30,за свободен софтуер и за,софтуер с отворен код,,През април 2004 г 75,,GNU General Public License
31,те софтуерни проекта записани във,Freshmeat,,както и 68 от проектите,,GNU General Public License
32,и 68 от проектите в,SourceForge,,са били лицензирани под GPL,,GNU General Public License
33,са лицензирани под GPL включително,Линукс (ядро),ядрото „Линукс“,и основният компилатор за Линукс,,GNU General Public License
34,включително ядрото Линукс и основният,компилатор,,за Линукс GNU Compiler Collection,,GNU General Public License
35,Линукс и основният компилатор за,Линукс,,GNU Compiler Collection GCC Други,,GNU General Public License
36,и основният компилатор за Линукс,GNU Compiler Collection,,GCC Други свободни продукти са,,GNU General Public License
37,История GPL е разработен от,Ричард Столман,,през 1989 г за програмите,,GNU General Public License
38,разработен от Ричард Столман през,1989,,г за програмите създадени като,,GNU General Public License
39,създадени като част от проекта,ГНУ,,Първоначалният вариант на GPL е,,GNU General Public License
40,,Файл:GFDL Logo.svg,мини|Лого на GFDL,Лицензът за свободна документация на,,Лиценз за свободна документация на ГНУ
41,свободна документация на ГНУ е,лиценз,,за отворено съдържание създаден от,,Лиценз за свободна документация на ГНУ
42,на ГНУ е лиценз за,отворено съдържание,,създаден от Фондацията за свободен,,Лиценз за свободна документация на ГНУ
43,за отворено съдържание създаден от,Фондация за свободен софтуер,Фондацията за свободен софтуер,за проекта ГНУ и първоначално,,Лиценз за свободна документация на ГНУ
44,за свободен софтуер за проекта,ГНУ,,и първоначално замислен за програмната,,Лиценз за свободна документация на ГНУ
45,тясно свързан със законите за,авторско право,,в различните държави според които,,Лиценз за свободна документация на ГНУ
46,същия лиценз и условия За,Уикипедия,,това гарантира че натрупаните знания,,Лиценз за свободна документация на ГНУ
47,са подчинени на същия лиценз,Уикипедия,,е най големият проект използвал,,Лиценз за свободна документация на ГНУ
48,лиценз преди да премине към,Криейтив Комънс,,лиценза CC BY SA Криейтив,,Лиценз за свободна документация на ГНУ
49,Комънс Признание Споделяне на споделеното,:en:Wikipedia:Licensing update,през 2009 г.,Източници Вижте също неофициалния превод,,Лиценз за свободна документация на ГНУ
50,2009 г Източници Вижте също,Уикипедия:Неофициален превод на GNU FDL,неофициалния превод на GNU FDL на български,оригиналния текст на английски Външни,,Лиценз за свободна документация на ГНУ
51,на GNU FDL на български,Уикипедия:Лиценз за свободна документация на ГНУ,оригиналния текст на английски,Външни препратки конференция от автора,,Лиценз за свободна документация на ГНУ
52,конференция от автора на лиценза,Ибен Моглен,,професор по право и един,,Лиценз за свободна документация на ГНУ
53,лиценза Ибен Моглен професор по,право,,и един от основателите на,,Лиценз за свободна документация на ГНУ
54,Република България е държава в,Югоизточна Европа,,Разположена е в източната част,,България
55,е в източната част на,Балканския полуостров,,и заема 23 от неговата,,България
56,територия Граничи на север с,Румъния,,на запад със Сърбия и,,България
57,с Румъния на запад със,Сърбия,,и Северна Македония на юг,,България
58,на запад със Сърбия и,Северна Македония,,на юг с Гърция и,,България
59,Северна Македония на юг с,Гърция,,и на югоизток с Турция,,България
60,Гърция и на югоизток с,Турция,,На изток по протежение на,,България
61,се мие от водите на,Черно море,,Със своите почти 111 хил,,България
62,Със своите почти 111 хил,кв. км,km²,площ и 7 000 039,,България
63,своите почти 111 хил km²,площ,,и 7 000 039 души,,България
64,площ и по население в,Европейския съюз,,Най ранните свидетелства за човешко,,България
65,хиляди години или епохата на,палеолит,,Към петото хилядолетие преди н,,България
66,североизточна България процъфтява култура която,Варненски халколитен некропол,създава най-ранните златни украшения,в Европа От античността до,,България
67,златни украшения в Европа От,античност,,а до Тъмните векове по,,България
68,в Европа От античността до,Тъмни векове на Средновековието,Тъмните векове,по земите на днешна България,,България
69,България се развиват културите на,траки,,е древните гърци келтите готите,,България
70,се развиват културите на траките,древни гърци,древните гърци,келтите готите и римляните С,,България
71,културите на траките древните гърци,келти,,е готите и римляните С,,България
72,на траките древните гърци келтите,готи,,е и римляните С пристигането,,България
73,древните гърци келтите готите и,римляни,,е С пристигането на славяните,,България
74,разделена на 5 основни периода,Праистория,,Античност Средновековие Османско владичество и,,История на България
75,на 5 основни периода Праистория,Античност,,Средновековие Османско владичество и Съвременна,,История на България
76,5 основни периода Праистория Античност,Средновековие,,Османско владичество и Съвременна история,,История на България
77,основни периода Праистория Античност Средновековие,Османско владичество в България,Османско владичество,и Съвременна история Поради географското,,История на България
78,Античност Средновековие Османско владичество и,Трета българска държава,Съвременна история,Поради географското си положение територията,,История на България
79,най рано заселените райони в,Европа,,През 3 хилядолетие пр н,,История на България
80,заселените райони в Европа През,3 хилядолетие пр.н.е.,,тя е заета от траките,,История на България
81,е тя е заета от,траки,,е индоевропейски народ за който,,История на България
82,предполага че е дошъл на,Балканите,,от североизток Те създават свои,,История на България
83,достигат разцвет по време на,елинизъм,елинизма,В средата на 1 век,,История на България
84,на елинизма В средата на,1 век пр.н.е.,,траките са подчинени от Древен,,История на България
85,е траките са подчинени от,Древен Рим,,Античност и Ранно средновековие до,,История на България
86,Ранно средновековие до 7 век,Файл:Old Europe.png,"мини|300п|Палеоисторическата [[Винчанска култура]], създала най-старата в света протописменост и първа металургия в Европа",Предистория преди 12 век пр,,История на България
87,пр н е През ранната,енеолит,,а епоха се развиват металургията,,История на България
